Frame 65: Sorpresa: 0.0005, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0003, Triste: 0.0002, Disgustado: 0.0000, Feliz: 0.9989
Frame 66: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0001, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9995
Frame 67: Sorpresa: 0.0009, Miedo: 0.0001, Enojado: 0.0000, Neutral: 0.0016, Triste: 0.0003, Disgustado: 0.0000, Feliz: 0.9971
Frame 68: Sorpresa: 0.0042, Miedo: 0.0005, Enojado: 0.0007, Neutral: 0.0511, Triste: 0.0028, Disgustado: 0.0013, Feliz: 0.9393
Frame 69: Sorpresa: 0.0005, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0232, Triste: 0.0002, Disgustado: 0.0002, Feliz: 0.9758
Frame 70: Sorpresa: 0.0003, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0011, Triste: 0.0001, Disgustado: 0.0000, Feliz: 0.9985
Frame 71: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0001, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9998
Frame 72: Sorpresa: 0.0047, Miedo: 0.0007, Enojado: 0.0004, Neutral: 0.0521, Triste: 0.0009, Disgustado: 0.0006, Feliz: 0.9406
Frame 73: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0010, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9989
Frame 74: Sorpresa: 0.0024, Miedo: 0.0001, Enojado: 0.0000, Neutral: 0.0021, Triste: 0.0002, Disgustado: 0.0001, Feliz: 0.9952
Frame 75: Sorpresa: 0.0032, Miedo: 0.0002, Enojado: 0.0006, Neutral: 0.0712, Triste: 0.0063, Disgustado: 0.0012, Feliz: 0.9173
Frame 76: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0004, Triste: 0.0001, Disgustado: 0.0000, Feliz: 0.9990
Frame 77: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0060, Triste: 0.0001, Disgustado: 0.0001, Feliz: 0.9935
Frame 78: Sorpresa: 0.0020, Miedo: 0.0003, Enojado: 0.0002, Neutral: 0.0582, Triste: 0.0014, Disgustado: 0.0010, Feliz: 0.9369
Frame 79: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0008, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9991
Frame 80: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0004, Triste: 0.0001, Disgustado: 0.0000, Feliz: 0.9994
Frame 81: Sorpresa: 0.0000, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0019, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9979
Frame 82: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0001, Triste: 0.0001, Disgustado: 0.0000, Feliz: 0.9995
Frame 83: Sorpresa: 0.0017, Miedo: 0.0002, Enojado: 0.0004, Neutral: 0.0556, Triste: 0.0011, Disgustado: 0.0013, Feliz: 0.9398
Frame 84: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0003, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9995
